start_station_name,start_lat,start_lng,end_station_name,end_lat,end_lng,trip_count
5 Ave & E 72 St,40.77282817,-73.96685276,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,2138
1 Ave & E 16 St,40.73221853,-73.98165557,E 23 St & 1 Ave,40.736502,-73.97809472,2133
University Pl & E 8 St,40.73143724085228,-73.99490341544151,University Pl & E 14 St,40.734814,-73.992085,2132
Columbus Ave & W 72 St,40.7770575,-73.97898475,W 63 St & Broadway,40.77163851,-73.98261428,2130
W 42 St & 6 Ave,40.75492,-73.98455,11 Ave & W 41 St,40.76030096,-73.99884222,2126
Huron St & Franklin St,40.73266,-73.95826,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,2126
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2123
3 St & Prospect Park West,40.668132,-73.97363831,3 St & Prospect Park West,40.668132,-73.97363831,2117
5 Ave & E 78 St,40.77632142182271,-73.96427392959595,5 Ave & E 72 St,40.77282817,-73.96685276,2111
1 Ave & E 78 St,40.77140426,-73.9535166,E 85 St & 3 Ave,40.77801203,-73.95407149,2109
Henry St & Grand St,40.714211,-73.981095,Clinton St & Grand St,40.71559509,-73.9870295,2109
Plaza St East & Flatbush Ave,40.673134,-73.969106,Plaza St East & Flatbush Ave,40.673134,-73.969106,2103
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,2078
W 29 St & 9 Ave,40.7500727,-73.99839279,9 Ave & W 22 St,40.7454973,-74.00197139,2076
9 Ave & W 22 St,40.7454973,-74.00197139,W 22 St & 8 Ave,40.74475148,-73.99915362,2074
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,1 Ave & E 78 St,40.77140426,-73.9535166,2073
Driggs Ave & N Henry St,40.72325,-73.94308,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,2063
Vesey Pl & River Terrace,40.7153379,-74.01658354,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,2054
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,2051
West St & Chambers St,40.71754834,-74.01322069,Christopher St & Greenwich St,40.73291553,-74.00711384,2049
Central Park West & W 76 St,40.77896784,-73.97374737,Central Park West & W 76 St,40.77896784,-73.97374737,2048
Graham Ave & Conselyea St,40.715143,-73.944507,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,2048
3 Ave & E 62 St,40.76312584,-73.96526895,1 Ave & E 68 St,40.76500525,-73.95818491,2043
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,Huron St & Franklin St,40.73266,-73.95826,2043
Central Park W & W 91 St,40.78866499127884,-73.96680057048798,Central Park W & W 91 St,40.78866499127884,-73.96680057048798,2036
West Thames St,40.70834698,-74.01713445,West St & Liberty St,40.711444,-74.014847,2027
E 31 St & 3 Ave,40.74394314,-73.97966069,W 31 St & 7 Ave,40.749156,-73.9916,2026
E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,6 Ave & W 34 St,40.74964,-73.98805,2025
E 27 St & 1 Ave,40.739445,-73.976806,2 Ave & E 29 St,40.74172351097472,-73.97809267044067,2025
Picnic Point,40.68512559515415,-74.02535319328308,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,2011
Old Slip & South St,40.70336686695866,-74.007867872715,South St & Gouverneur Ln,40.70355377,-74.00670227,2009
1 Ave & E 39 St,40.74714,-73.97113,1 Ave & E 44 St,40.75001986,-73.96905301,1998
1 Ave & E 68 St,40.76500525,-73.95818491,E 88 St & 1 Ave,40.778301,-73.9488134,1987
E 10 St & Avenue A,40.72740794,-73.98142006,Ave A & E 14 St,40.73031071000895,-73.98047178983688,1986
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,1975
West St & Chambers St,40.71754834,-74.01322069,W 22 St & 10 Ave,40.74691959,-74.00451887,1972
11 Ave & W 41 St,40.76030096,-73.99884222,11 Ave & W 41 St,40.76030096,-73.99884222,1967
E 7 St & Ave B,40.7251285241158,-73.98131668567657,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,1963
9 Ave & W 22 St,40.7454973,-74.00197139,9 Ave & W 18 St,40.74317449,-74.00366443,1958
E 40 St & Park Ave,40.750756,-73.978326,E 27 St & Park Ave S,40.74275179648995,-73.9847157150507,1956
Central Park S & 6 Ave,40.76590936,-73.97634151,5 Ave & E 93 St,40.7857851,-73.957481,1950
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,West End Ave & W 60 St,40.77237,-73.99005,1940
E 11 St & Avenue B,40.72746420692392,-73.97950418293476,Ave A & E 14 St,40.73031071000895,-73.98047178983688,1939
Broadway & W 29 St,40.7462009,-73.98855723,Broadway & W 25 St,40.74286877312112,-73.98918628692627,1936
12 Ave & W 125 St,40.818299,-73.960405,12 Ave & W 125 St,40.818299,-73.960405,1935
Little West St & 1 Pl,40.70569254,-74.01677685,West St & Chambers St,40.71754834,-74.01322069,1930
Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,Picnic Point,40.68512559515415,-74.02535319328308,1928
E 27 St & 1 Ave,40.739445,-73.976806,W 31 St & 7 Ave,40.749156,-73.9916,1926
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,1924
W 54 St & 9 Ave,40.76584941,-73.98690506,9 Ave & W 45 St,40.76019252,-73.9912551,1923
Franklin St & Dupont St,40.73564,-73.95866,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,1920
